x1	x2	x3	x4	
-5.205800011750e-002	-6.539600342510e-002	-9.322199970480e-002	-8.814699947830e-002
-1.587899960580e-002	-2.049499936400e-002	-3.271500114350e-003	5.093200132250e-003
6.225999823070e-005	2.013099938630e-002	4.617100115870e-003	3.386199846860e-002
6.339000072330e-003	-2.745500020680e-002	-3.655200079080e-002	-2.931700088080e-002
-3.378500044350e-002	-2.653199993070e-002	-4.625799879430e-002	-6.251899898050e-002
-1.034799963240e-002	3.710500022860e-004	-2.437300048770e-002	-2.197100035850e-002
1.253399997950e-003	-4.136399831620e-003	6.761299911890e-003	6.200199946760e-003
3.444400057200e-002	3.037700057030e-002	6.648200005290e-002	1.066000014540e-001
-1.124600041660e-002	-1.645400002600e-002	-2.714899927380e-002	-2.051700092850e-002
1.185700017960e-002	6.566899828610e-003	1.535699982200e-002	-6.577400024980e-003
2.908400073650e-002	-2.150700055060e-002	-2.330500073730e-002	-6.376499682660e-002
-2.693100087340e-002	-1.607000082730e-002	1.914200000460e-002	-3.033800050620e-002
3.457600018010e-003	-3.075799904760e-003	-8.504999801520e-003	-1.041899994020e-002
-3.922000154850e-002	-1.797799952330e-002	-3.035699948670e-002	-7.242699712510e-002
-2.029100060460e-002	-3.474500030280e-002	-2.324599958960e-002	-5.160700157280e-002
7.546099834140e-003	-7.417600136250e-003	1.433899998660e-002	1.457899995150e-002
6.782999634740e-002	4.076100140810e-002	7.826499640940e-002	6.373500078920e-002
2.884800080210e-003	2.130299992860e-002	4.409399814900e-003	1.798800006510e-002
-8.893200196330e-003	-9.411299601200e-003	9.033099748190e-003	2.780799986790e-003
-5.793200107290e-004	-2.503200061620e-002	-1.321899984030e-002	5.353700253180e-004
9.454499930140e-003	2.845099940900e-002	1.141399983320e-002	2.266900055110e-002
-1.321200001980e-002	-6.800699979070e-003	-1.152400020510e-002	-8.272199891510e-003
6.512300111350e-003	3.979300148790e-003	1.648800075050e-002	2.155799977480e-002
-4.072700068350e-002	-4.148900136350e-002	-4.531700164080e-002	-4.627300053830e-002
9.712000377480e-003	-1.097999993360e-004	-8.650599978860e-003	-9.418499656020e-003
2.827299945060e-002	6.590799894180e-003	2.964499965310e-002	3.226599842310e-002
4.690899979320e-003	-1.961600035430e-002	1.342399977150e-002	4.022200126200e-003
7.970700040460e-003	1.514600031080e-002	1.954500097780e-003	6.507500074800e-003
3.889800049360e-003	-2.593199908730e-002	9.007000335260e-005	1.373100001360e-002
